,RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
2425,2426,15630167,GIBSON,684,Spain,Female,39,4,139723.9,1,1,1,120612.11,0,0,2,SILVER,254
2427,2428,15661821,JOHNSTONE,798,Germany,Female,49,5,132571.67,1,1,1,31686.33,1,1,2,DIAMOND,863
2429,2430,15712176,BURKE,816,France,Male,31,8,0,2,1,1,28407.4,0,0,4,SILVER,834
2430,2431,15689351,JOHNSON,742,Germany,Female,41,4,92805.72,1,0,1,73743.95,1,1,1,DIAMOND,334
2431,2432,15782247,YEH,540,France,Male,22,4,0,3,1,1,186233.26,1,1,3,PLATINUM,530
2433,2434,15718153,KAO,759,Spain,Female,74,6,128917.84,1,1,1,48244.64,0,0,1,DIAMOND,793
2438,2439,15792525,LEI,628,Germany,Female,61,1,97361.66,1,1,1,149922.38,1,1,5,GOLD,657
2440,2441,15790659,SHEETS,701,Spain,Male,59,7,0,2,0,1,27597.59,0,0,4,SILVER,387
2441,2442,15691446,TOKARYEV,735,Spain,Male,29,10,0,2,1,1,95025.27,0,0,2,DIAMOND,439
2443,2444,15706587,JOHNSTON,560,France,Male,57,0,0,2,0,1,116781.71,0,0,1,DIAMOND,615
2445,2446,15654409,UNWIN,665,France,Female,34,5,67816.72,1,1,1,29641.58,0,0,5,SILVER,310
2446,2447,15568025,HSUEH,758,France,Male,51,8,81710.46,1,1,1,116520.07,0,0,4,PLATINUM,688
2447,2448,15715769,HAO,621,France,Male,26,2,75237.54,1,0,1,44220.4,0,0,4,SILVER,459
2449,2450,15567980,FRATER,537,Germany,Female,46,5,100727.5,1,0,1,140857.76,1,1,3,DIAMOND,649
2453,2454,15619935,VANMETER,783,Spain,Female,59,9,126224.87,1,1,1,4423.63,0,0,2,DIAMOND,841
2455,2456,15727490,SCOTT,661,France,Male,47,5,0,1,0,1,107243.31,1,1,4,DIAMOND,308
2456,2457,15591766,CRAWFORD,607,Spain,Female,25,4,121166.89,1,0,1,115288.24,0,0,1,DIAMOND,551
2457,2458,15641629,P'ENG,537,Spain,Female,38,1,0,2,0,1,41233.97,0,0,5,PLATINUM,818
2458,2459,15813303,REARICK,513,Spain,Male,88,10,0,2,1,1,52952.24,0,0,1,PLATINUM,627
2461,2462,15592765,MARKS,637,France,Male,40,8,125470.81,1,1,1,174536.17,0,0,4,PLATINUM,658
2462,2463,15704442,FLEMING,672,France,Female,53,9,169406.33,4,1,1,147311.47,1,1,4,DIAMOND,232
2463,2464,15641136,DAVISON,629,France,Male,32,2,0,2,0,1,77965.44,0,0,2,SILVER,627
2464,2465,15725818,CHIBUZO,583,Germany,Male,40,4,107041.3,1,1,1,5635.63,0,0,1,GOLD,304
2465,2466,15612071,WILSON,763,Spain,Female,32,10,95153.77,1,0,1,81310.1,0,0,2,GOLD,816
2468,2469,15742210,UGOCHUKWU,700,France,Male,38,9,65962.63,1,1,1,100950.48,0,0,2,PLATINUM,419
2469,2470,15630617,LO DUCA,727,Germany,Male,36,6,140418.81,1,1,1,113033.73,1,1,3,PLATINUM,357
2470,2471,15720838,GALLO,689,Spain,Female,31,3,139799.63,1,0,1,120663.57,0,0,5,GOLD,964
2472,2473,15623196,MORLEY,686,France,Male,38,6,149238.97,1,1,1,97825.23,0,0,1,SILVER,816
2476,2477,15617136,MAZZANTI,451,Germany,Female,38,9,61482.47,1,1,1,167538.66,0,0,1,GOLD,628
2479,2480,15657139,OTUTODILINNA,652,France,Female,40,8,84390.8,2,0,1,107876.2,0,0,4,SILVER,306
2480,2481,15803790,ALLEN,638,Germany,Male,37,2,89728.86,2,1,1,37294.88,0,0,4,DIAMOND,799
2484,2485,15587735,CHUKWUEBUKA,850,France,Male,39,6,96863.13,1,1,1,121681.19,0,0,4,DIAMOND,883
2485,2486,15659501,CHIOKE,753,France,Female,38,6,142263.45,1,0,1,33730.43,0,0,4,DIAMOND,351
2489,2490,15776824,ROSSI,714,France,Male,28,6,122724.37,1,1,1,67057.27,0,0,1,DIAMOND,892
2491,2492,15764174,BIDENCOPE,612,Spain,Female,26,4,0,2,1,1,179780.74,0,0,2,GOLD,516
2492,2493,15778155,T'IEN,520,Germany,Female,31,3,108914.17,1,1,1,183572.39,1,1,3,SILVER,560
2493,2494,15715920,DE BERNALES,782,Spain,Male,23,10,98052.66,1,1,1,142587.32,0,0,3,PLATINUM,565
2494,2495,15671917,WADE,666,France,Male,46,5,123873.19,1,1,1,177844.06,0,0,2,PLATINUM,742
2496,2497,15625623,STEVENSON,567,France,Female,45,4,0,2,0,1,121053.19,0,0,3,GOLD,525
2497,2498,15748123,CHIENEZIE,613,France,Male,20,3,0,2,1,1,149613.77,0,0,1,GOLD,817
2498,2499,15648735,CASHIN,718,France,Male,37,8,0,2,1,1,142.81,0,0,5,GOLD,720
2499,2500,15634974,SEPPELT,614,France,Female,37,8,75150.34,4,0,1,131766.67,1,1,1,GOLD,516
2506,2507,15679642,FENG,695,Spain,Male,44,8,0,2,1,1,70974.13,0,0,2,DIAMOND,544
2508,2509,15661974,PIROZZI,677,France,Male,46,2,57037.74,1,1,1,158531.01,0,0,1,GOLD,870
2510,2511,15607993,MILNE,625,France,Female,52,2,79468.96,1,1,1,84606.03,0,0,2,PLATINUM,629
2512,2513,15769522,O'CONNOR,734,France,Male,51,1,118537.47,1,1,1,116912.45,0,0,2,DIAMOND,697
2516,2517,15798666,HUGHES,814,France,Female,36,6,0,2,1,1,98657.01,0,0,5,SILVER,780
2518,2519,15759436,AKSENOV,758,France,Female,50,2,95813.76,3,1,1,67944.09,1,1,2,PLATINUM,525
2519,2520,15690231,K'UNG,612,Spain,Female,62,0,167026.61,2,1,1,192892.05,0,0,1,PLATINUM,739
2521,2522,15739068,NWOYE,638,Germany,Male,25,4,148045.45,2,1,1,114722.42,0,0,2,SILVER,537
2524,2525,15726490,KIRBY,782,Spain,Male,52,4,0,1,1,1,52759.82,1,1,4,GOLD,741
2525,2526,15738411,HO,505,France,Male,34,10,104498.79,1,0,1,126451.14,0,0,3,DIAMOND,244
2527,2528,15709396,HALE,801,France,Male,42,6,0,2,1,1,95804.33,0,0,1,SILVER,361
2528,2529,15654106,K?,604,France,Male,26,8,149542.52,2,0,1,197911.52,0,0,1,SILVER,683
2529,2530,15621653,RICE,716,France,Female,29,10,87946.39,1,1,1,182531.74,0,0,1,GOLD,660
2531,2532,15752300,SAGESE,607,Germany,Male,47,4,148826.32,1,1,1,79450.61,0,0,5,GOLD,837
2532,2533,15658693,AKSYONOVA,827,France,Female,60,2,0,2,0,1,60615.83,0,0,3,DIAMOND,750
2533,2534,15631838,FINDLAY,606,France,Male,61,5,108166.09,2,0,1,8643.21,0,0,3,DIAMOND,386
2536,2537,15752026,HAMMER,691,France,Male,58,3,0,1,0,1,194930.3,1,1,2,PLATINUM,974
2538,2539,15752838,LUCAS,723,Spain,Male,38,6,0,2,1,1,94415.6,0,0,2,PLATINUM,500
2541,2542,15679770,SMITH,611,France,Female,61,3,131583.59,4,0,1,66238.23,1,1,3,PLATINUM,755
2542,2543,15791102,MAI,549,Germany,Male,41,9,95020.8,3,1,1,131710.59,1,1,5,DIAMOND,793
2543,2544,15655192,FIORENTINO,850,Spain,Female,24,1,0,2,0,1,69052.87,0,0,3,SILVER,888
2545,2546,15687130,NKEMJIKA,686,France,Female,43,0,0,1,1,1,170072.9,0,0,5,PLATINUM,929
2546,2547,15755178,RAMOS,660,France,Male,50,1,0,3,1,1,191849.15,1,1,5,SILVER,967
2547,2548,15634772,MARIO,682,Spain,Female,59,0,122661.39,1,0,1,84803.76,0,0,1,PLATINUM,686
2548,2549,15617197,CHIEN,524,France,Male,50,4,0,2,1,1,31840.59,1,1,2,SILVER,292
2549,2550,15631240,DUBININA,645,France,Female,36,8,0,2,1,1,12096.61,1,1,2,PLATINUM,608
2551,2552,15631310,HSIEH,537,France,Female,53,3,0,1,1,1,91406.62,0,0,4,PLATINUM,238
2553,2554,15732270,HUNG,727,Spain,Male,71,8,0,1,1,1,198446.91,1,1,4,GOLD,869
2556,2557,15567486,LI,634,Spain,Female,41,4,0,2,1,1,164549.74,0,0,4,DIAMOND,311
2558,2559,15727021,OBIALO,727,Germany,Female,30,8,119027.28,2,1,1,137903.54,0,0,5,GOLD,515
2561,2562,15729763,NELSON,655,Spain,Male,34,1,116114.93,1,1,1,49492.15,0,0,5,GOLD,601
2562,2563,15646566,BELL,763,France,Female,58,9,187911.55,1,0,1,35825.18,0,0,5,PLATINUM,871
2563,2564,15645463,UDINESE,843,France,Female,27,5,0,2,1,1,67494.23,0,0,1,DIAMOND,557
2564,2565,15672144,MAO,667,France,Female,38,6,144432.04,1,1,1,73963.17,1,1,1,SILVER,403
2565,2566,15596088,FANUCCI,705,France,Female,50,4,77065.9,2,0,1,145159.26,0,0,4,PLATINUM,726
2566,2567,15614878,YEH,660,Germany,Female,29,6,180520.29,1,1,1,123850.58,0,0,2,SILVER,988
2568,2569,15775905,MOORE,612,Germany,Female,47,6,130024.87,1,1,1,45750.21,1,1,4,PLATINUM,705
2571,2572,15652527,CHAMPION,680,France,Male,44,7,108724.98,1,0,1,72330.46,0,0,4,GOLD,973
2572,2573,15785865,MAZZANTI,711,France,Male,58,9,91285.13,2,1,1,26767.85,0,0,3,DIAMOND,949
2573,2574,15645942,MACLEOD,689,Spain,Male,40,2,0,2,1,1,164768.82,0,0,4,GOLD,490
2574,2575,15688691,LEI,665,Germany,Female,51,9,110610.41,2,0,1,1112.76,1,1,2,GOLD,843
2578,2579,15704629,WRIGHT,582,France,Female,32,1,116409.55,1,0,1,152790.92,0,0,4,SILVER,519
2580,2581,15731790,BOYLE,697,Germany,Female,38,6,132591.36,1,1,1,7387.8,1,1,3,DIAMOND,322
2582,2583,15703205,UWAEZUOKE,656,France,Female,46,5,113402.14,2,1,1,138849.06,0,0,4,SILVER,605
2585,2586,15612030,UDEGBULAM,724,France,Male,28,9,0,2,1,1,100240.2,0,0,2,GOLD,664
2586,2587,15573242,GREENE,691,France,Male,50,6,136953.47,1,1,1,2704.98,0,0,5,PLATINUM,469
2587,2588,15601892,HUNTER,563,France,Male,33,8,0,2,0,1,68815.05,0,0,5,PLATINUM,983
2588,2589,15663885,BLINOVA,741,France,Male,32,5,0,1,1,1,64839.23,0,0,3,SILVER,485
2590,2591,15710450,OKWUDILIOLISA,848,Spain,Male,22,7,120811.89,1,1,1,185510.34,0,0,5,GOLD,295
2591,2592,15790846,TS'AI,634,Germany,Male,38,2,148430.55,1,1,1,56055.72,0,0,5,PLATINUM,808
2592,2593,15658956,TUAN,505,Germany,Male,40,6,47869.69,2,1,1,155061.97,0,0,1,DIAMOND,910
2597,2598,15668818,CHIDUBEM,592,Spain,Female,40,2,200322.45,1,1,1,113244.73,0,0,5,PLATINUM,482
2598,2599,15765812,TREVISANI,587,Spain,Male,48,1,0,2,1,1,8908,0,0,5,DIAMOND,660
2599,2600,15704844,HSIUNG,550,Spain,Male,62,7,80927.56,1,0,1,64490.67,0,0,5,GOLD,679
2601,2602,15616700,LEACH,622,Spain,Female,41,9,0,2,1,1,155786.39,0,0,3,PLATINUM,292
2603,2604,15583049,WALLACE,643,Germany,Female,34,7,160426.07,1,0,1,188533.11,0,0,3,GOLD,806
2606,2607,15715707,LIGHT,657,France,Male,32,3,118829.03,2,1,1,73127.61,0,0,2,DIAMOND,343
2608,2609,15733768,HOU,600,France,Male,32,1,0,1,1,1,101986.16,0,0,4,SILVER,324
2609,2610,15755242,ROWE,682,France,Female,46,2,0,1,1,1,114442.66,0,0,3,DIAMOND,257
2610,2611,15729412,HOLLOWAY,682,France,Male,38,4,107192.38,1,1,1,15669.17,0,0,3,PLATINUM,459
2611,2612,15746564,O'SULLIVAN,566,France,Male,42,3,108010.78,1,1,1,157486.1,0,0,3,GOLD,509
2613,2614,15665221,NWEBUBE,630,France,Male,26,7,129837.72,2,0,1,197001.15,0,0,1,DIAMOND,716
2615,2616,15700209,WALKER,486,France,Male,63,9,97009.15,1,1,1,85101,0,0,1,GOLD,575
2617,2618,15602735,KUO,692,Germany,Male,45,6,152296.83,4,0,1,108040.86,1,1,4,DIAMOND,489
2622,2623,15787026,ONWUATUEGWU,627,Germany,Male,27,0,185267.45,2,1,1,77027.34,0,0,4,SILVER,606
2626,2627,15574324,GENOVESE,568,Germany,Female,29,2,129177.01,2,0,1,104617.99,0,0,3,DIAMOND,893
2628,2629,15775891,MYERS,634,Germany,Male,48,2,107247.69,1,1,1,103712.05,1,1,5,GOLD,674
2631,2632,15681196,CHIKERE,629,France,Male,35,1,172170.36,1,1,1,159777.37,0,0,2,GOLD,230
2632,2633,15716000,HS?EH,638,Spain,Male,48,2,0,2,1,1,7919.08,0,0,1,DIAMOND,674
2633,2634,15766776,SAL,576,France,Male,41,1,0,1,1,1,188274.6,0,0,3,DIAMOND,999
2635,2636,15688637,WITT,592,France,Female,27,4,0,2,1,1,183569.25,0,0,5,PLATINUM,900
2636,2637,15591179,SKELTON,702,Spain,Male,30,2,0,2,1,1,145537.32,0,0,3,GOLD,786
2638,2639,15698619,BOWHAY,593,France,Male,43,9,0,2,1,1,76357.43,0,0,1,DIAMOND,931
2641,2642,15599301,TAO,538,Germany,Female,28,6,164365.44,1,0,1,5698.97,0,0,4,DIAMOND,659
2643,2644,15586870,NI,632,France,Male,27,4,193125.85,1,1,1,152665.85,0,0,4,GOLD,262
2644,2645,15735263,HSUEH,736,France,Male,27,5,51522.75,1,0,1,192131.77,0,0,4,SILVER,562
2645,2646,15765322,CONNELY,755,France,Male,23,5,84284.48,2,1,1,62851.6,0,0,5,DIAMOND,453
2648,2649,15644962,CONNOLLY,745,France,Male,21,4,137910.45,1,1,1,177235.23,0,0,3,PLATINUM,923
2651,2652,15604544,MANFRIN,850,Germany,Male,40,4,166082.15,2,0,1,44406.17,0,0,1,SILVER,563
2656,2657,15713267,ZIMMER,779,Spain,Female,34,5,0,2,0,1,111676.63,0,0,1,SILVER,945
2657,2658,15737782,BRAZENOR,562,France,Male,29,9,0,1,1,1,25858.68,0,0,1,SILVER,512
2660,2661,15756241,YIRAWALA,767,France,Female,44,2,152509.25,1,1,1,136915.15,0,0,4,GOLD,777
2663,2664,15717898,BRUCE,542,Spain,Male,32,2,131945.94,1,0,1,159737.56,0,0,3,SILVER,406
2664,2665,15769582,KANG,586,France,Male,29,3,0,2,1,1,142238.54,0,0,2,GOLD,1000
2666,2667,15576723,TS'AI,740,France,Female,37,7,0,2,1,1,194270.91,0,0,1,DIAMOND,741
2667,2668,15591577,MORAN,584,France,Male,35,3,146311.58,1,1,1,105443.47,0,0,1,GOLD,292
2670,2671,15760446,PAGNOTTO,598,France,Female,64,9,0,1,0,1,13181.37,1,1,5,GOLD,753
2671,2672,15611105,CASTELLA,799,Spain,Male,35,7,0,2,0,1,140780.8,0,0,4,PLATINUM,695
2675,2676,15682890,WORONOFF,745,Germany,Male,38,5,65095.41,2,1,1,140197.42,0,0,3,PLATINUM,603
2677,2678,15733297,SINCLAIR,518,France,Female,38,10,84764.79,1,1,1,162253.9,0,0,4,SILVER,289
2679,2680,15725698,PANICUCCI,520,Spain,Female,35,4,115680.81,1,1,1,90280.7,0,0,5,PLATINUM,275
2683,2684,15739046,MAGGARD,850,Spain,Female,23,9,143054.85,1,0,1,62980.96,0,0,3,PLATINUM,930
2685,2686,15672115,LETTIERE,679,France,Male,60,6,0,2,1,1,77331.77,0,0,4,DIAMOND,421
2686,2687,15618765,PONOMARYOV,530,Germany,Female,42,0,99948.45,1,0,1,97338.62,0,0,4,DIAMOND,478
2688,2689,15728474,CHIENEZIE,558,Germany,Male,32,4,108235.91,1,1,1,143783.28,0,0,4,DIAMOND,801
2689,2690,15636999,MAO,414,France,Male,38,8,0,1,0,1,77661.12,1,1,4,DIAMOND,258
2693,2694,15627697,ALEKSEYEVA,662,France,Male,34,2,0,2,0,1,21497.27,0,0,4,GOLD,892
2694,2695,15721585,BLACKLOCK,628,Germany,Male,29,3,113146.98,2,0,1,124749.08,0,0,2,PLATINUM,354
2696,2697,15792176,HENTY,698,Spain,Female,40,0,92053.44,1,1,1,143681.83,0,0,4,DIAMOND,970
2697,2698,15699450,LI,723,France,Male,48,7,0,2,1,1,150694.58,0,0,1,PLATINUM,501
2699,2700,15600103,ALEXANDER,633,Germany,Female,29,8,104944.1,1,1,1,97684.46,0,0,4,DIAMOND,769
2702,2703,15670172,PADOVESI,622,France,Female,30,4,107879.04,1,0,1,196894.62,0,0,5,GOLD,623
2706,2707,15595071,RAMOS,696,France,Male,22,9,149777,1,1,1,198032.93,0,0,3,PLATINUM,873
2708,2709,15667190,YUAN,630,Spain,Female,21,1,85818.18,1,1,1,133102.3,0,0,2,DIAMOND,374
2710,2711,15766869,USPENSKAYA,634,Germany,Male,37,1,89696.84,2,1,1,193179.88,0,0,2,GOLD,725
2711,2712,15775741,POWELL,608,France,Female,28,9,0,2,1,1,125062.02,0,0,4,GOLD,397
2713,2714,15701318,POOLE,763,Spain,Male,67,9,148564.66,1,0,1,87236.4,0,0,1,PLATINUM,595
2714,2715,15710928,MCCHESNEY,665,France,Female,55,8,136354.16,1,1,1,93769.89,0,0,4,GOLD,940
2715,2716,15682547,LUCCHESE,649,France,Male,38,1,122214,1,0,1,88965.46,0,0,3,DIAMOND,591
2716,2717,15631170,CLEMENTS,695,France,Male,45,3,0,2,1,1,30793.61,0,0,1,PLATINUM,364
2717,2718,15648702,YURIEV,775,Germany,Male,70,6,119684.88,2,1,1,74532.02,0,0,1,GOLD,237
2718,2719,15783444,ENDRIZZI,788,France,Female,39,3,135139.33,1,0,1,113086.08,0,0,1,SILVER,444
2720,2721,15806688,MANFRIN,726,Spain,Female,56,8,123110.9,3,0,1,130113.78,1,1,4,DIAMOND,873
2721,2722,15576824,KENNEDY,564,Germany,Female,44,3,111760.4,3,1,1,104722.47,1,1,3,DIAMOND,785
2722,2723,15675422,CONWAY,544,France,Female,32,9,110728.39,1,1,1,14559.62,0,0,1,SILVER,629
2723,2724,15681550,LABLANC,614,France,Female,41,8,121558.46,1,1,1,598.8,0,0,5,SILVER,698
2725,2726,15597951,MUIR,471,France,Female,58,4,114713.57,1,1,1,36315.03,0,0,1,PLATINUM,904
2727,2728,15581748,SHEN,754,Germany,Male,57,2,101134.87,2,1,1,70954.41,0,0,5,GOLD,898
2728,2729,15770420,DILLON,749,Germany,Male,46,10,78136.36,2,1,1,73470.98,0,0,5,SILVER,887
2731,2732,15712584,LIAO,670,France,Female,33,7,0,2,1,1,88187.81,0,0,2,DIAMOND,241
2734,2735,15708505,PALERMA,641,Germany,Female,37,7,62974.64,2,0,1,39016.43,0,0,1,GOLD,513
2737,2738,15644724,FAN,472,France,Male,31,4,58662.92,2,0,1,73322,0,0,1,GOLD,437
2740,2741,15787699,BURKE,650,Germany,Male,34,4,142393.11,1,1,1,11276.48,0,0,3,DIAMOND,981
2742,2743,15576126,YOUNG,649,France,Female,41,2,125785.23,1,1,1,70523.92,0,0,4,PLATINUM,880
2745,2746,15669957,DRAKE,655,Germany,Male,52,9,144696.75,1,1,1,49025.79,0,0,2,DIAMOND,691
2746,2747,15655794,HANNA,620,France,Male,36,8,0,2,1,1,145937.99,0,0,5,PLATINUM,675
2747,2748,15599829,PADOVESI,577,France,Female,35,10,0,2,1,1,25161.61,0,0,3,PLATINUM,723
2749,2750,15671124,BUCCHO,599,France,Male,25,6,120383.41,1,1,1,24903.09,0,0,5,DIAMOND,648
2750,2751,15767474,LORENZO,481,France,Female,57,9,0,3,1,1,169719.35,1,1,3,SILVER,259
2751,2752,15720671,IBEZIMAKO,704,France,Male,42,8,129735.3,2,1,1,179565.57,0,0,1,PLATINUM,361
2754,2755,15579647,OLUCHUKWU,682,France,Male,42,0,0,1,1,1,160828.98,0,0,5,SILVER,262
2755,2756,15625522,WALKER,700,Spain,Male,31,7,0,2,0,1,145151.96,0,0,1,GOLD,676
2756,2757,15765806,WU,492,France,Male,29,1,144591.96,1,1,1,196293.76,0,0,3,SILVER,251
2760,2761,15591123,IREDALE,557,Germany,Male,68,2,100194.44,1,1,1,38596.34,0,0,1,GOLD,888
2761,2762,15573280,GALLAGHER,646,Germany,Male,50,6,145295.31,2,1,1,27814.74,0,0,3,GOLD,561
2762,2763,15589018,PADILLA,719,Germany,Male,28,3,106070.29,2,1,1,183893.31,0,0,3,GOLD,802
2763,2764,15654495,POTTER,706,Germany,Female,47,6,120621.89,1,1,1,140803.7,0,0,5,DIAMOND,870
2764,2765,15597265,MAO,660,France,Male,38,7,0,2,0,1,146585.53,0,0,2,GOLD,780
2765,2766,15733876,SCHNEIDER,667,France,Male,36,9,0,2,1,1,40062.29,0,0,4,SILVER,472
2766,2767,15677217,IBRAGIMOVA,705,France,Male,30,1,0,1,1,1,181300.32,0,0,5,SILVER,554
2767,2768,15747265,HUANG,598,Germany,Female,27,10,171283.91,1,1,1,84136.12,0,0,5,GOLD,508
2768,2769,15713379,ANDERSON,669,France,Male,26,4,0,2,1,1,197594.34,0,0,2,GOLD,829
2770,2771,15693347,GARDENER,676,France,Female,32,5,0,2,1,1,75465.41,0,0,5,DIAMOND,862
2772,2773,15680736,MILNE,597,Germany,Female,72,6,124978.19,2,1,1,7144.46,0,0,2,PLATINUM,374
2774,2775,15650034,KUDRYASHOVA,564,France,Female,28,1,0,1,1,1,162428.05,0,0,3,PLATINUM,434
2775,2776,15782468,HART,850,Spain,Male,51,3,109799.55,2,1,1,12457.76,1,1,3,PLATINUM,974
2778,2779,15761141,PALERMA,604,Spain,Female,71,10,0,2,1,1,129984.2,0,0,1,GOLD,750
2779,2780,15781702,BROOKES,733,Germany,Male,38,9,111347.37,2,0,1,194872.97,0,0,2,GOLD,260
2780,2781,15790235,HSING,778,Spain,Male,40,8,104291.41,2,1,1,117507.11,0,0,5,GOLD,998
2781,2782,15641416,SHAFFER,732,Germany,Female,61,9,94867.18,2,1,1,157527.6,1,1,3,GOLD,507
2784,2785,15642202,WHITFIELD,821,Germany,Female,37,5,106453.53,2,0,1,127413,0,0,5,GOLD,798
2790,2791,15595883,NKEMDIRIM,540,Germany,Male,39,4,127278.31,1,1,1,16150.34,0,0,3,DIAMOND,572
2791,2792,15663826,BRIM,532,Spain,Female,66,3,0,1,1,1,115227.02,0,0,1,DIAMOND,955
2792,2793,15742820,TREVISANO,535,France,Female,45,2,0,2,0,1,170621.55,0,0,4,GOLD,921
2795,2796,15665110,HELENA,515,France,Female,25,7,79543.59,1,0,1,38772.82,0,0,2,DIAMOND,509
2796,2797,15770719,DUNCAN,697,France,Female,39,6,151553.19,1,1,1,44946.29,0,0,4,SILVER,221
2797,2798,15731327,HALE,652,Germany,Male,27,2,166527.88,2,0,1,146007.7,0,0,1,SILVER,917
2801,2802,15596060,SKINNER,498,Spain,Male,29,8,127864.26,1,1,1,46677.9,0,0,5,SILVER,404
2802,2803,15723299,SOROKINA,774,France,Male,53,4,113709.28,1,1,1,153887.93,1,1,3,PLATINUM,616
2803,2804,15636982,WELLER,705,Germany,Female,43,7,79974.55,1,1,1,103108.33,0,0,1,SILVER,475
2804,2805,15751175,BESS,648,France,Female,44,2,0,2,1,1,58652.23,0,0,5,DIAMOND,708
2808,2809,15615991,UDEGBULAM,654,France,Male,42,7,99263.09,1,1,1,67607.9,0,0,3,SILVER,911
2809,2810,15757001,MAI,624,France,Female,32,2,79368.87,2,1,1,145471.94,0,0,1,SILVER,994
2810,2811,15595388,YEH,594,France,Female,30,10,0,2,1,1,124071.71,0,0,2,DIAMOND,757
2811,2812,15699550,BABBAGE,695,Spain,Female,34,9,0,2,1,1,67502.12,0,0,1,GOLD,774
2812,2813,15581620,FRANKLIN,597,France,Male,28,2,0,3,1,1,78707.97,0,0,3,SILVER,793
2817,2818,15768244,MACLEOD,538,Spain,Female,30,8,0,2,1,1,41192.95,0,0,3,GOLD,495
2820,2821,15813916,KUDRYASHOVA,622,France,Female,31,1,89688.94,1,1,1,152305.47,0,0,2,GOLD,588
2821,2822,15626385,GEORGE,714,Spain,Female,33,10,103121.33,2,1,1,49672.01,0,0,4,PLATINUM,830
2823,2824,15764351,YURYEVA,668,Germany,Female,59,5,120170.07,1,0,1,50454.8,0,0,3,DIAMOND,442
2824,2825,15667938,HURST,628,France,Male,32,9,149136.31,2,1,1,16402.11,0,0,3,GOLD,859
2825,2826,15576360,CH'IU,600,France,Male,40,1,141136.79,1,1,1,67803.83,0,0,5,SILVER,851
2827,2828,15584190,ESPOSITO,704,France,Male,36,7,120026.98,2,0,1,100601.73,0,0,1,GOLD,348
2829,2830,15759913,TRENTINI,553,Germany,Male,43,6,85200.82,2,1,1,160574.09,0,0,5,PLATINUM,550
2830,2831,15701555,NICHOLLS,575,Spain,Male,53,1,84903.33,2,0,1,26015.8,0,0,3,GOLD,899
2832,2833,15758171,TIEN,582,France,Male,20,4,0,1,1,1,55763.66,0,0,5,SILVER,249
2835,2836,15812917,KOSISOCHUKWU,653,Spain,Male,35,6,116662.96,2,1,1,23864.21,0,0,2,DIAMOND,262
2836,2837,15768455,YOUNG,679,France,Male,60,8,0,2,1,1,51380.9,0,0,4,SILVER,797
2837,2838,15703059,SCOTT,549,Germany,Female,49,6,124829.16,1,0,1,93551.36,0,0,3,DIAMOND,411
2839,2840,15585451,VIGANO,558,Germany,Female,32,1,108262.87,1,1,1,6935.31,0,0,3,PLATINUM,259
2842,2843,15785782,UGONNA,513,Spain,Male,48,2,0,1,1,1,114709.13,1,1,3,SILVER,497
2843,2844,15693233,DE NEEVE,666,Germany,Male,38,6,99812.88,2,1,1,158357.97,0,0,2,PLATINUM,671
2844,2845,15757521,RICCI,606,France,Male,35,2,132164.26,1,0,1,164815.59,0,0,3,GOLD,331
2848,2849,15713608,TUAN,850,France,Female,41,5,0,2,1,1,34827.43,0,0,2,GOLD,914
2850,2851,15610426,TIEN,764,France,Female,39,5,81042.42,1,0,1,109805.17,0,0,4,DIAMOND,225
2852,2853,15771483,ARNOLD,609,France,Male,40,6,0,2,1,1,97416.34,0,0,1,DIAMOND,717
2853,2854,15648489,TING,487,France,Male,53,4,199689.49,1,1,1,24207.86,1,1,1,SILVER,726
2855,2856,15693203,POWELL,710,Spain,Female,75,5,0,2,1,1,9376.89,0,0,1,GOLD,857
2857,2858,15769829,CHENG,534,Spain,Male,51,3,0,2,0,1,20856.31,0,0,5,GOLD,253
2864,2865,15597033,SPEIGHT,708,Germany,Male,37,8,153366.13,1,1,1,26912.34,0,0,2,DIAMOND,682
2865,2866,15590228,GREENWALT,715,France,Male,21,6,76467.16,1,1,1,173511.72,0,0,4,GOLD,995
2866,2867,15631848,GROVER,727,France,Female,26,9,121508.28,1,1,1,146785.44,0,0,1,PLATINUM,253
2867,2868,15654211,MILANI,559,Spain,Female,27,1,0,1,0,1,1050.33,0,0,5,DIAMOND,658
2870,2871,15651093,CHIEN,707,France,Female,55,1,0,2,0,1,54409.48,0,0,5,GOLD,709
2873,2874,15707189,MARSHALL,667,Germany,Female,36,1,114391.62,1,1,1,53412.54,0,0,5,SILVER,874
2876,2877,15585284,THOMSON,604,Spain,Female,35,7,147285.52,1,1,1,57807.05,0,0,5,PLATINUM,1000
2877,2878,15617866,CALABRESE,657,Spain,Male,67,5,119785.47,2,1,1,107534.32,0,0,1,PLATINUM,876
2881,2882,15570943,ARTEMYEVA,711,Germany,Female,35,2,133607.75,1,1,1,120586.32,0,0,2,DIAMOND,352
2882,2883,15685829,MCKAY,551,France,Male,37,3,0,2,1,1,50578.4,0,0,1,PLATINUM,936
2883,2884,15721917,CHUANG,559,France,Female,38,8,95139.41,1,1,1,86575.46,0,0,4,PLATINUM,286
